Time,Bits/s
2000-01-01 00:00:00,7
2000-01-01 00:00:01,7
2000-01-01 00:00:02,7
2000-01-01 00:00:03,7
2000-01-01 00:00:04,7
2000-01-01 00:00:05,5967
2000-01-01 00:00:06,5936
2000-01-01 00:00:07,5934
2000-01-01 00:00:08,5751
2000-01-01 00:00:09,5778
2000-01-01 00:00:10,5746
2000-01-01 00:00:11,5630
2000-01-01 00:00:12,5407
2000-01-01 00:00:13,5337
2000-01-01 00:00:14,5290
2000-01-01 00:00:15,5354
2000-01-01 00:00:16,5285
2000-01-01 00:00:17,5225
2000-01-01 00:00:18,5230
2000-01-01 00:00:19,5256
2000-01-01 00:00:20,5280
2000-01-01 00:00:21,5297
2000-01-01 00:00:22,5308
2000-01-01 00:00:23,5349
2000-01-01 00:00:24,5420
2000-01-01 00:00:25,5563
2000-01-01 00:00:26,5606
2000-01-01 00:00:27,5710
2000-01-01 00:00:28,5900
2000-01-01 00:00:29,5884
2000-01-01 00:00:30,5934
2000-01-01 00:00:31,5984
2000-01-01 00:00:32,6186
2000-01-01 00:00:33,6350
2000-01-01 00:00:34,6348
2000-01-01 00:00:35,6488
2000-01-01 00:00:36,6675
2000-01-01 00:00:37,6867
2000-01-01 00:00:38,6959
2000-01-01 00:00:39,7026
2000-01-01 00:00:40,6901
2000-01-01 00:00:41,6964
2000-01-01 00:00:42,6977
2000-01-01 00:00:43,7010
2000-01-01 00:00:44,7086
2000-01-01 00:00:45,7046
2000-01-01 00:00:46,7082
2000-01-01 00:00:47,7226
2000-01-01 00:00:48,7218
2000-01-01 00:00:49,7132
2000-01-01 00:00:50,7078
2000-01-01 00:00:51,7116
2000-01-01 00:00:52,7066
2000-01-01 00:00:53,6985
2000-01-01 00:00:54,6977
2000-01-01 00:00:55,7025
2000-01-01 00:00:56,6941
2000-01-01 00:00:57,6722
2000-01-01 00:00:58,6690
2000-01-01 00:00:59,6586
2000-01-01 00:01:00,6508
2000-01-01 00:01:01,6528
2000-01-01 00:01:02,6605
2000-01-01 00:01:03,6532
2000-01-01 00:01:04,6656
2000-01-01 00:01:05,6735
2000-01-01 00:01:06,6542
2000-01-01 00:01:07,6480
2000-01-01 00:01:08,6802
2000-01-01 00:01:09,6732
2000-01-01 00:01:10,6645
2000-01-01 00:01:11,6759
2000-01-01 00:01:12,6665
2000-01-01 00:01:13,6599
2000-01-01 00:01:14,6641
2000-01-01 00:01:15,6598
2000-01-01 00:01:16,6749
2000-01-01 00:01:17,6705
2000-01-01 00:01:18,6779
2000-01-01 00:01:19,6721
2000-01-01 00:01:20,6613
2000-01-01 00:01:21,6622
2000-01-01 00:01:22,6727
2000-01-01 00:01:23,6654
2000-01-01 00:01:24,6342
2000-01-01 00:01:25,6292
2000-01-01 00:01:26,6182
2000-01-01 00:01:27,6204
2000-01-01 00:01:28,6128
2000-01-01 00:01:29,6228
2000-01-01 00:01:30,6246
2000-01-01 00:01:31,6284
2000-01-01 00:01:32,6104
2000-01-01 00:01:33,5791
2000-01-01 00:01:34,5786
2000-01-01 00:01:35,5775
2000-01-01 00:01:36,5651
2000-01-01 00:01:37,5521
2000-01-01 00:01:38,5427
2000-01-01 00:01:39,5534
2000-01-01 00:01:40,5241
2000-01-01 00:01:41,5154
2000-01-01 00:01:42,5200
2000-01-01 00:01:43,5226
2000-01-01 00:01:44,4978
2000-01-01 00:01:45,4984
2000-01-01 00:01:46,5004
2000-01-01 00:01:47,4919
2000-01-01 00:01:48,4761
2000-01-01 00:01:49,4675
2000-01-01 00:01:50,4615
2000-01-01 00:01:51,4624
2000-01-01 00:01:52,4729
2000-01-01 00:01:53,4761
2000-01-01 00:01:54,4738
2000-01-01 00:01:55,4794
2000-01-01 00:01:56,4992
2000-01-01 00:01:57,5145
2000-01-01 00:01:58,5084
2000-01-01 00:01:59,5101
2000-01-01 00:02:00,5420
2000-01-01 00:02:01,5455
2000-01-01 00:02:02,5416
2000-01-01 00:02:03,5396
2000-01-01 00:02:04,5844
2000-01-01 00:02:05,5817
2000-01-01 00:02:06,5783
2000-01-01 00:02:07,5978
2000-01-01 00:02:08,6441
2000-01-01 00:02:09,6473
2000-01-01 00:02:10,6350
2000-01-01 00:02:11,6200
2000-01-01 00:02:12,6376
2000-01-01 00:02:13,6451
2000-01-01 00:02:14,6427
2000-01-01 00:02:15,6471
2000-01-01 00:02:16,6658
2000-01-01 00:02:17,6699
2000-01-01 00:02:18,6673
2000-01-01 00:02:19,6767
2000-01-01 00:02:20,6743
2000-01-01 00:02:21,6496
2000-01-01 00:02:22,6495
2000-01-01 00:02:23,6437
2000-01-01 00:02:24,6296
2000-01-01 00:02:25,6288
2000-01-01 00:02:26,6295
2000-01-01 00:02:27,6364
2000-01-01 00:02:28,6250
2000-01-01 00:02:29,6299
2000-01-01 00:02:30,6232
2000-01-01 00:02:31,6249
2000-01-01 00:02:32,6276
2000-01-01 00:02:33,6287
2000-01-01 00:02:34,6331
2000-01-01 00:02:35,6333
2000-01-01 00:02:36,6301
2000-01-01 00:02:37,6496
2000-01-01 00:02:38,6582
2000-01-01 00:02:39,6628
2000-01-01 00:02:40,7055
2000-01-01 00:02:41,7123
2000-01-01 00:02:42,6852
2000-01-01 00:02:43,6525
2000-01-01 00:02:44,6166
2000-01-01 00:02:45,6034
2000-01-01 00:02:46,5970
2000-01-01 00:02:47,5719
2000-01-01 00:02:48,6119
2000-01-01 00:02:49,5893
2000-01-01 00:02:50,5802
2000-01-01 00:02:51,5754
2000-01-01 00:02:52,5719
2000-01-01 00:02:53,5695
2000-01-01 00:02:54,5975
2000-01-01 00:02:55,5841
2000-01-01 00:02:56,5252
2000-01-01 00:02:57,5208
2000-01-01 00:02:58,5377
2000-01-01 00:02:59,5415
2000-01-01 00:03:00,5322
2000-01-01 00:03:01,5314
2000-01-01 00:03:02,5410
2000-01-01 00:03:03,5470
2000-01-01 00:03:04,5302
2000-01-01 00:03:05,5254
2000-01-01 00:03:06,5386
2000-01-01 00:03:07,5360
2000-01-01 00:03:08,5141
2000-01-01 00:03:09,4992
2000-01-01 00:03:10,5132
2000-01-01 00:03:11,5316
2000-01-01 00:03:12,5529
2000-01-01 00:03:13,5718
2000-01-01 00:03:14,6043
2000-01-01 00:03:15,6019
2000-01-01 00:03:16,5928
2000-01-01 00:03:17,5846
2000-01-01 00:03:18,5632
2000-01-01 00:03:19,5709
2000-01-01 00:03:20,5563
2000-01-01 00:03:21,5585
2000-01-01 00:03:22,5401
2000-01-01 00:03:23,5319
2000-01-01 00:03:24,5233
2000-01-01 00:03:25,5168
2000-01-01 00:03:26,5263
2000-01-01 00:03:27,5142
2000-01-01 00:03:28,5154
2000-01-01 00:03:29,5288
2000-01-01 00:03:30,5234
2000-01-01 00:03:31,5302
2000-01-01 00:03:32,5375
2000-01-01 00:03:33,5422
2000-01-01 00:03:34,5460
2000-01-01 00:03:35,5361
2000-01-01 00:03:36,5438
2000-01-01 00:03:37,5527
2000-01-01 00:03:38,5381
2000-01-01 00:03:39,5263
2000-01-01 00:03:40,5641
2000-01-01 00:03:41,5617
2000-01-01 00:03:42,5525
2000-01-01 00:03:43,5428
2000-01-01 00:03:44,5386
2000-01-01 00:03:45,5447
2000-01-01 00:03:46,5483
2000-01-01 00:03:47,5588
2000-01-01 00:03:48,5645
2000-01-01 00:03:49,5660
2000-01-01 00:03:50,5537
2000-01-01 00:03:51,5606
2000-01-01 00:03:52,5600
2000-01-01 00:03:53,5646
2000-01-01 00:03:54,5708
2000-01-01 00:03:55,5687
2000-01-01 00:03:56,5655
2000-01-01 00:03:57,5771
2000-01-01 00:03:58,5700
2000-01-01 00:03:59,5526
2000-01-01 00:04:00,5338
2000-01-01 00:04:01,5347
2000-01-01 00:04:02,5325
2000-01-01 00:04:03,5208
2000-01-01 00:04:04,5168
2000-01-01 00:04:05,5037
2000-01-01 00:04:06,4811
2000-01-01 00:04:07,4713
2000-01-01 00:04:08,4809
2000-01-01 00:04:09,4747
2000-01-01 00:04:10,4612
2000-01-01 00:04:11,4654
2000-01-01 00:04:12,4922
2000-01-01 00:04:13,4900
2000-01-01 00:04:14,4739
2000-01-01 00:04:15,4770
2000-01-01 00:04:16,5056
2000-01-01 00:04:17,5270
2000-01-01 00:04:18,5122
2000-01-01 00:04:19,5046
2000-01-01 00:04:20,6135
2000-01-01 00:04:21,6132
2000-01-01 00:04:22,5991
2000-01-01 00:04:23,5999
2000-01-01 00:04:24,5989
2000-01-01 00:04:25,5815
2000-01-01 00:04:26,5978
2000-01-01 00:04:27,5968
2000-01-01 00:04:28,5724
2000-01-01 00:04:29,5594
2000-01-01 00:04:30,5798
2000-01-01 00:04:31,5951
2000-01-01 00:04:32,5402
2000-01-01 00:04:33,5633
2000-01-01 00:04:34,6008
2000-01-01 00:04:35,5747
2000-01-01 00:04:36,5254
2000-01-01 00:04:37,5232
2000-01-01 00:04:38,5360
2000-01-01 00:04:39,5469
2000-01-01 00:04:40,5455
2000-01-01 00:04:41,5492
2000-01-01 00:04:42,5633
2000-01-01 00:04:43,5702
2000-01-01 00:04:44,5514
2000-01-01 00:04:45,5493
2000-01-01 00:04:46,5506
2000-01-01 00:04:47,5293
2000-01-01 00:04:48,5452
2000-01-01 00:04:49,5512
2000-01-01 00:04:50,5626
2000-01-01 00:04:51,5463
2000-01-01 00:04:52,5298
2000-01-01 00:04:53,5196
2000-01-01 00:04:54,5221
2000-01-01 00:04:55,5223
2000-01-01 00:04:56,5157
2000-01-01 00:04:57,5172
2000-01-01 00:04:58,5083
2000-01-01 00:04:59,5011
2000-01-01 00:05:00,4686
2000-01-01 00:05:01,4772
2000-01-01 00:05:02,4869
2000-01-01 00:05:03,4888
2000-01-01 00:05:04,4704
2000-01-01 00:05:05,4729
2000-01-01 00:05:06,4882
2000-01-01 00:05:07,4874
2000-01-01 00:05:08,4779
2000-01-01 00:05:09,4807
2000-01-01 00:05:10,4933
2000-01-01 00:05:11,4953
2000-01-01 00:05:12,4982
2000-01-01 00:05:13,5060
2000-01-01 00:05:14,5058
2000-01-01 00:05:15,5039
2000-01-01 00:05:16,5482
2000-01-01 00:05:17,5566
2000-01-01 00:05:18,5293
2000-01-01 00:05:19,5198
2000-01-01 00:05:20,5450
2000-01-01 00:05:21,5544
2000-01-01 00:05:22,5546
2000-01-01 00:05:23,5512
2000-01-01 00:05:24,5474
2000-01-01 00:05:25,5545
2000-01-01 00:05:26,5586
