Time,Bits/s
2000-01-01 00:00:00,69
2000-01-01 00:00:01,69
2000-01-01 00:00:02,65
2000-01-01 00:00:03,62
2000-01-01 00:00:04,62
2000-01-01 00:00:05,64
2000-01-01 00:00:06,67
2000-01-01 00:00:07,66
2000-01-01 00:00:08,65
2000-01-01 00:00:09,65
2000-01-01 00:00:10,61
2000-01-01 00:00:11,62
2000-01-01 00:00:12,65
2000-01-01 00:00:13,63
2000-01-01 00:00:14,63
2000-01-01 00:00:15,60
2000-01-01 00:00:16,66
2000-01-01 00:00:17,64
2000-01-01 00:00:18,62
2000-01-01 00:00:19,67
2000-01-01 00:00:20,78
2000-01-01 00:00:21,85
2000-01-01 00:00:22,103
2000-01-01 00:00:23,121
2000-01-01 00:00:24,135
2000-01-01 00:00:25,139
2000-01-01 00:00:26,128
2000-01-01 00:00:27,114
2000-01-01 00:00:28,105
2000-01-01 00:00:29,105
2000-01-01 00:00:30,111
2000-01-01 00:00:31,119
2000-01-01 00:00:32,146
2000-01-01 00:00:33,159
2000-01-01 00:00:34,159
2000-01-01 00:00:35,148
2000-01-01 00:00:36,142
2000-01-01 00:00:37,141
2000-01-01 00:00:38,150
2000-01-01 00:00:39,157
2000-01-01 00:00:40,158
2000-01-01 00:00:41,152
2000-01-01 00:00:42,162
2000-01-01 00:00:43,172
2000-01-01 00:00:44,189
2000-01-01 00:00:45,188
2000-01-01 00:00:46,195
2000-01-01 00:00:47,214
2000-01-01 00:00:48,230
2000-01-01 00:00:49,254
2000-01-01 00:00:50,276
2000-01-01 00:00:51,296
2000-01-01 00:00:52,308
2000-01-01 00:00:53,296
2000-01-01 00:00:54,293
2000-01-01 00:00:55,299
2000-01-01 00:00:56,306
2000-01-01 00:00:57,337
2000-01-01 00:00:58,362
2000-01-01 00:00:59,366
2000-01-01 00:01:00,353
2000-01-01 00:01:01,328
2000-01-01 00:01:02,336
2000-01-01 00:01:03,331
2000-01-01 00:01:04,325
2000-01-01 00:01:05,310
2000-01-01 00:01:06,271
2000-01-01 00:01:07,225
2000-01-01 00:01:08,197
2000-01-01 00:01:09,192
2000-01-01 00:01:10,202
2000-01-01 00:01:11,199
2000-01-01 00:01:12,210
2000-01-01 00:01:13,220
2000-01-01 00:01:14,256
2000-01-01 00:01:15,276
2000-01-01 00:01:16,252
2000-01-01 00:01:17,244
2000-01-01 00:01:18,229
2000-01-01 00:01:19,192
2000-01-01 00:01:20,142
2000-01-01 00:01:21,121
2000-01-01 00:01:22,95
2000-01-01 00:01:23,84
2000-01-01 00:01:24,85
2000-01-01 00:01:25,93
2000-01-01 00:01:26,102
2000-01-01 00:01:27,106
2000-01-01 00:01:28,101
2000-01-01 00:01:29,102
2000-01-01 00:01:30,102
2000-01-01 00:01:31,106
2000-01-01 00:01:32,112
2000-01-01 00:01:33,106
2000-01-01 00:01:34,97
2000-01-01 00:01:35,82
2000-01-01 00:01:36,75
2000-01-01 00:01:37,72
2000-01-01 00:01:38,84
2000-01-01 00:01:39,96
2000-01-01 00:01:40,118
2000-01-01 00:01:41,139
2000-01-01 00:01:42,150
2000-01-01 00:01:43,167
2000-01-01 00:01:44,188
2000-01-01 00:01:45,202
2000-01-01 00:01:46,221
2000-01-01 00:01:47,225
2000-01-01 00:01:48,216
2000-01-01 00:01:49,217
2000-01-01 00:01:50,238
2000-01-01 00:01:51,248
2000-01-01 00:01:52,242
2000-01-01 00:01:53,235
2000-01-01 00:01:54,222
2000-01-01 00:01:55,218
2000-01-01 00:01:56,212
2000-01-01 00:01:57,205
2000-01-01 00:01:58,207
2000-01-01 00:01:59,231
2000-01-01 00:02:00,242
2000-01-01 00:02:01,247
2000-01-01 00:02:02,246
2000-01-01 00:02:03,254
2000-01-01 00:02:04,284
2000-01-01 00:02:05,321
2000-01-01 00:02:06,346
2000-01-01 00:02:07,354
2000-01-01 00:02:08,363
2000-01-01 00:02:09,369
2000-01-01 00:02:10,388
